Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
293,Kendrick Nunn\nunnke01,SG,24,MIA,6,6,29.5,7.7,15.8,.484,2.7,6.0,.444,5.0,9.8,.508,.568,1.5,1.5,1.000,0.0,2.2,2.2,3.0,1.7,0.2,2.3,3.3,19.5
294,David Nwaba\nwabada01,SG,27,BRK,4,0,12.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.3,1.0,.250,0.5,2.3,2.8,0.3,0.3,0.3,1.0,1.5,2.0
295,Royce O'Neale\onealro01,PF,26,UTA,7,6,27.6,2.6,4.7,.545,0.9,2.1,.400,1.7,2.6,.667,.636,0.0,0.0,,0.1,3.7,3.9,2.0,0.6,0.4,1.1,3.1,6.0
296,Kyle O'Quinn\oquinky01,C,29,PHI,5,0,9.2,1.4,3.4,.412,0.4,1.6,.250,1.0,1.8,.556,.471,0.4,1.0,.400,1.4,2.2,3.6,1.0,0.2,0.4,0.6,1.0,3.6
297,Semi Ojeleye\ojelese01,PF,25,BOS,5,0,12.8,0.4,1.4,.286,0.0,0.8,.000,0.4,0.6,.667,.286,0.6,1.0,.600,0.2,1.4,1.6,0.4,0.2,0.0,0.0,0.8,1.4
298,Jahlil Okafor\okafoja01,C,24,NOP,6,3,17.8,4.3,6.8,.634,0.0,0.0,,4.3,6.8,.634,.634,2.2,3.2,.684,1.8,3.5,5.3,1.2,0.5,1.0,2.0,3.5,10.8
299,Elie Okobo\okoboel01,PG,22,PHO,3,0,3.0,1.0,1.7,.600,0.3,0.7,.500,0.7,1.0,.667,.700,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.3,2.3
300,Josh Okogie\okogijo01,SG,21,MIN,5,0,22.2,3.0,5.4,.556,0.4,1.8,.222,2.6,3.6,.722,.593,2.6,3.8,.684,1.2,3.4,4.6,2.6,1.8,0.2,1.8,2.2,9.0
301,KZ Okpala\okpalkz01,SF,20,MIA,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
302,Kelly Olynyk\olynyke01,C,28,MIA,6,0,19.5,1.8,6.0,.306,1.0,4.0,.250,0.8,2.0,.417,.389,1.2,1.3,.875,1.2,4.0,5.2,1.8,0.8,0.7,1.7,3.3,5.8
303,Cedi Osman\osmande01,SF,24,CLE,6,6,30.0,3.3,7.5,.444,2.2,4.5,.481,1.2,3.0,.389,.589,0.5,0.7,.750,0.2,2.7,2.8,1.5,1.0,0.3,1.0,2.7,9.3
304,Kelly Oubre\oubreke01,SF,24,PHO,6,6,30.7,6.5,13.7,.476,1.5,4.3,.346,5.0,9.3,.536,.530,3.5,3.8,.913,1.7,4.3,6.0,1.7,1.3,0.8,1.3,3.7,18.0
305,Jabari Parker\parkeja01,PF,24,ATL,5,0,22.2,5.4,9.8,.551,1.4,3.6,.389,4.0,6.2,.645,.622,1.6,2.4,.667,1.0,2.8,3.8,1.0,0.4,0.2,1.8,2.8,13.8
306,Eric Paschall\pascher01,PF,23,GSW,6,2,27.8,5.5,9.0,.611,0.0,1.3,.000,5.5,7.7,.717,.611,2.8,3.5,.810,1.0,2.0,3.0,1.7,0.7,0.5,1.2,1.7,13.8
307,Patrick Patterson\pattepa01,PF,30,LAC,7,7,22.9,1.7,5.1,.333,1.4,3.9,.370,0.3,1.3,.222,.472,0.1,0.3,.500,1.0,3.1,4.1,1.4,0.3,0.1,0.6,1.7,5.0
308,Justin Patton\pattoju01,C,22,OKC,1,0,6.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0
309,Chris Paul\paulch01,PG,34,OKC,6,6,29.0,4.7,10.3,.452,2.2,4.5,.481,2.5,5.8,.429,.556,3.3,4.3,.769,0.3,3.3,3.7,4.5,1.5,0.0,3.2,2.2,14.8
310,Elfrid Payton\paytoel01,PG,25,NYK,4,3,25.5,2.8,7.3,.379,1.3,2.0,.625,1.5,5.3,.286,.466,1.3,1.5,.833,0.8,2.3,3.0,3.8,2.5,0.0,1.8,2.0,8.0
311,Theo Pinson\pinsoth01,SG,24,BRK,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
312,Mason Plumlee\plumlma01,C,29,DEN,6,0,16.0,2.2,3.7,.591,0.0,0.2,.000,2.2,3.5,.619,.591,1.8,2.8,.647,2.2,2.8,5.0,2.7,0.5,0.5,1.0,3.0,6.2
313,Vincent Poirier\poirivi01,C,26,BOS,2,0,6.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.5,2.0
314,Jakob Pöltl\poeltja01,C,24,SAS,6,0,15.5,1.8,3.5,.524,0.0,0.0,,1.8,3.5,.524,.524,1.2,1.8,.636,2.2,2.7,4.8,1.3,0.2,1.0,0.7,1.7,4.8
315,Jordan Poole\poolejo01,SG,20,GSW,6,3,25.2,3.0,10.3,.290,1.8,5.2,.355,1.2,5.2,.226,.379,1.8,1.8,1.000,0.0,1.7,1.7,1.5,0.7,0.0,1.5,2.7,9.7
316,Kevin Porter\porteke02,SG,19,CLE,6,0,18.0,1.7,5.5,.303,0.5,2.0,.250,1.2,3.5,.333,.348,1.5,1.5,1.000,0.5,1.8,2.3,1.3,0.2,0.7,1.3,2.7,5.3
317,Michael Porter\portemi01,PF,21,DEN,2,0,14.0,3.0,5.0,.600,0.5,1.5,.333,2.5,3.5,.714,.650,2.5,4.0,.625,1.0,3.0,4.0,0.5,0.0,0.0,1.0,1.0,9.0
318,Otto Porter\porteot01,SF,26,CHI,7,7,26.7,3.3,9.4,.348,1.3,4.1,.310,2.0,5.3,.378,.417,2.1,2.9,.750,1.1,2.6,3.7,1.7,0.9,0.3,0.9,2.3,10.0
319,Bobby Portis\portibo01,C,24,NYK,7,2,24.3,4.3,9.9,.435,1.0,3.0,.333,3.3,6.9,.479,.486,0.9,1.1,.750,2.3,5.4,7.7,1.4,0.6,0.4,1.1,2.6,10.4
320,Kristaps Porziņģis\porzikr01,PF,24,DAL,6,6,32.3,7.2,16.7,.430,2.5,6.5,.385,4.7,10.2,.459,.505,3.7,5.3,.688,1.2,7.0,8.2,2.2,0.3,2.7,2.3,3.5,20.5
321,Dwight Powell\poweldw01,PF,28,DAL,3,3,22.0,3.3,5.7,.588,0.3,1.0,.333,3.0,4.7,.643,.618,2.0,3.3,.600,1.7,2.7,4.3,0.0,0.3,0.0,2.0,2.0,9.0
322,Norman Powell\powelno01,SG,26,TOR,6,0,24.3,2.7,6.8,.390,1.2,4.0,.292,1.5,2.8,.529,.476,1.2,1.5,.778,0.5,3.7,4.2,1.5,1.0,0.0,1.8,1.5,7.7
323,Julius Randle\randlju01,PF,25,NYK,7,7,33.4,5.4,13.0,.418,0.1,2.6,.056,5.3,10.4,.507,.423,2.4,4.0,.607,3.3,7.1,10.4,4.6,0.7,0.1,4.1,2.9,13.4
324,Cam Reddish\reddica01,SF,20,ATL,5,5,25.2,1.8,8.6,.209,0.2,3.6,.056,1.6,5.0,.320,.221,1.4,1.6,.875,0.6,4.0,4.6,2.2,1.6,0.2,2.0,1.8,5.2
325,J.J. Redick\redicjj01,SG,35,NOP,6,4,24.3,3.3,8.7,.385,2.5,6.3,.395,0.8,2.3,.357,.529,1.2,1.5,.778,0.3,1.3,1.7,1.7,0.2,0.3,2.0,1.3,10.3
326,Josh Richardson\richajo01,SG,26,PHI,5,5,33.6,5.0,12.6,.397,1.0,4.6,.217,4.0,8.0,.500,.437,3.0,3.4,.882,1.0,3.0,4.0,3.6,1.6,1.2,3.2,3.2,14.0
327,Austin Rivers\riverau01,SG,27,HOU,6,0,17.3,2.2,5.0,.433,1.2,3.5,.333,1.0,1.5,.667,.550,0.5,1.0,.500,0.3,1.5,1.8,1.3,0.0,0.0,0.3,2.5,6.0
328,Duncan Robinson\robindu01,PF,25,MIA,6,2,22.3,4.2,7.5,.556,2.8,5.7,.500,1.3,1.8,.727,.744,0.2,0.2,1.000,0.0,2.2,2.2,0.5,0.2,0.8,0.7,1.5,11.3
329,Glenn Robinson\robingl02,SF,26,GSW,6,6,29.3,4.2,9.0,.463,1.0,2.8,.353,3.2,6.2,.514,.519,1.5,1.7,.900,2.5,3.3,5.8,1.5,1.0,0.3,1.0,1.8,10.8
330,Jerome Robinson\robinje01,SG,22,LAC,4,0,6.0,1.3,2.5,.500,0.5,1.0,.500,0.8,1.5,.500,.600,0.0,0.0,,0.0,1.0,1.0,0.8,0.0,0.0,1.3,0.5,3.0
