Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Owned,ER3,TER3
368,Karl-Anthony Towns\townska01,C,24,MIN,4,4,31.0,9.3,17.0,.544,4.5,8.5,.529,4.8,8.5,.559,.676,4.3,6.8,.630,2.0,9.5,11.5,4.0,2.5,1.8,2.5,2.8,27.3,0,213.373,193.876
369,Gary Trent\trentga02,SG,21,POR,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0,0.792,0.792
370,Allonzo Trier\trieral01,SG,24,NYK,4,1,18.8,2.3,5.8,.391,1.3,3.5,.357,1.0,2.3,.444,.500,3.0,4.3,.706,0.3,1.8,2.0,1.8,0.3,0.5,2.3,2.8,8.8,0,40.405,22.467
371,P.J. Tucker\tuckepj01,PF,34,HOU,6,6,33.8,4.2,7.8,.532,2.7,5.3,.500,1.5,2.5,.600,.702,0.7,0.7,1.000,1.7,5.0,6.7,1.7,1.5,0.5,1.0,3.7,11.7,0,114.244,106.445
372,Evan Turner\turneev01,PG,31,ATL,3,0,11.3,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,1.3,1.7,.800,0.0,1.0,1.0,2.3,1.0,0.0,0.7,0.7,4.0,0,38.113,32.653
373,Myles Turner\turnemy01,C,23,IND,4,4,31.5,5.5,10.0,.550,2.0,3.8,.533,3.5,6.3,.560,.650,1.8,2.3,.778,2.3,4.5,6.8,0.5,0.5,1.3,1.8,2.0,14.8,0,110.253,96.215
374,Jonas Valančiūnas\valanjo01,C,27,MEM,5,5,20.2,4.6,9.4,.489,0.8,2.0,.400,3.8,7.4,.514,.532,2.0,2.2,.909,2.2,6.4,8.6,1.8,0.4,0.6,2.0,2.6,12.0,0,81.366,65.768
375,Denzel Valentine\valende01,SG,26,CHI,1,0,5.0,1.0,4.0,.250,1.0,2.0,.500,0.0,2.0,.000,.375,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1.784,1.784
376,Jarred Vanderbilt\vandeja01,PF,20,DEN,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7.255,7.255
377,Fred VanVleet\vanvlfr01,SG,25,TOR,6,6,37.8,4.8,12.7,.382,2.3,5.8,.400,2.5,6.8,.366,.474,4.2,4.3,.962,0.2,4.2,4.3,7.2,1.2,0.2,2.3,2.5,16.2,0,105.574,87.637
378,Noah Vonleh\vonleno01,C,24,MIN,5,0,14.0,2.2,3.2,.688,0.0,0.6,.000,2.2,2.6,.846,.688,0.6,0.6,1.000,0.8,3.0,3.8,0.6,0.8,0.2,0.8,1.6,5.0,0,49.987,43.748
379,Nikola Vučević\vucevni01,C,29,ORL,6,6,30.5,6.7,15.5,.430,0.8,3.8,.217,5.8,11.7,.500,.457,2.7,3.0,.889,2.5,7.3,9.8,2.3,0.8,0.7,1.3,2.0,16.8,0,88.004,77.865
380,Moritz Wagner\wagnemo01,C,22,WAS,5,0,18.6,4.6,7.2,.639,1.0,2.4,.417,3.6,4.8,.750,.708,1.4,1.8,.778,1.2,3.4,4.6,0.4,0.6,0.8,3.4,3.4,11.6,0,86.701,60.185
381,Kemba Walker\walkeke02,PG,29,BOS,5,5,35.0,7.6,19.0,.400,3.4,9.2,.370,4.2,9.8,.429,.489,7.6,8.2,.927,1.8,3.4,5.2,3.8,1.0,0.4,2.2,2.2,26.2,0,120.363,103.206
382,Lonnie Walker\walkelo01,SG,21,SAS,3,0,4.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.3,0.7,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.0,1.0,1.0,0,-1.197,-1.197
383,Tyrone Wallace\wallaty01,SG,25,ATL,2,0,17.0,3.5,6.0,.583,0.0,1.0,.000,3.5,5.0,.700,.583,2.0,3.0,.667,1.0,2.0,3.0,2.0,0.5,0.0,1.5,2.0,9.0,0,40.861,29.163
384,Taurean Waller-Prince\princta02,SF,25,BRK,6,6,33.2,5.3,12.0,.444,3.3,7.5,.444,2.0,4.5,.444,.583,1.5,2.3,.643,0.8,5.5,6.3,1.3,1.0,0.7,2.0,2.7,15.5,0,97.046,81.448
385,Derrick Walton\waltode01,PG,24,LAC,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000,0.000
386,Brad Wanamaker\wanambr01,PG,30,BOS,5,0,8.0,0.8,1.8,.444,0.0,0.2,.000,0.8,1.6,.500,.444,0.6,0.6,1.000,0.2,1.4,1.6,1.2,0.4,0.2,0.8,1.0,2.2,0,24.695,18.456
387,T.J. Warren\warretj01,SF,26,IND,6,6,34.5,6.5,14.8,.438,0.3,2.7,.125,6.2,12.2,.507,.449,1.7,2.3,.714,0.8,2.3,3.2,0.8,1.5,0.2,1.0,3.2,15.0,0,49.986,42.187
388,PJ Washington\washipj01,PF,21,CHO,6,6,33.7,5.7,10.2,.557,2.3,4.7,.500,3.3,5.5,.606,.672,1.3,2.2,.615,1.0,5.7,6.7,1.2,1.2,0.5,2.2,2.8,15.0,0,104.509,87.352
