Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Owned,ER3,TER3
46,Chris Boucher\bouchch01,PF,27,TOR,4,0,4.3,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,0.8,1.3,0.0,0.0,1.0,0.3,0.3,1.0,0,25.124,22.784
47,Ky Bowman\bowmaky01,PG,22,GSW,6,1,14.8,1.8,5.2,.355,0.5,1.5,.333,1.3,3.7,.364,.403,1.3,1.3,1.000,0.2,1.3,1.5,1.3,0.8,0.0,0.8,1.3,5.5,0,28.911,22.672
48,Avery Bradley\bradlav01,SG,29,LAL,6,6,27.8,4.5,8.7,.519,1.0,2.8,.353,3.5,5.8,.600,.577,0.7,1.0,.667,0.2,3.2,3.3,0.7,1.3,0.2,1.0,2.2,10.7,0,65.433,57.634
49,Tony Bradley\bradlto01,C,22,UTA,4,0,6.3,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,1.0,1.5,.667,0.8,1.5,2.3,0.0,0.0,0.5,0.5,0.8,4.0,0,28.800,24.900
50,Jarrell Brantley\brantja01,PF,23,UTA,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0,35.793,35.793
51,Ignas Brazdeikis\brazdig01,SF,21,NYK,1,0,4.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0,17.639,9.841
52,Mikal Bridges\bridgmi01,SF,23,PHO,6,0,18.7,1.8,3.5,.524,0.2,1.2,.143,1.7,2.3,.714,.548,0.7,1.0,.667,0.2,3.0,3.2,1.0,1.7,0.0,0.7,1.5,4.5,0,48.526,43.067
53,Miles Bridges\bridgmi02,SF,21,CHO,6,6,32.7,4.7,10.7,.438,1.7,4.7,.357,3.0,6.0,.500,.516,1.5,1.8,.818,1.5,3.5,5.0,2.2,0.3,0.7,2.5,2.0,12.5,0,72.138,52.641
54,Ryan Broekhoff\broekry01,SG,29,DAL,1,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,27.871,27.871
55,Malcolm Brogdon\brogdma01,PG,27,IND,6,6,33.7,7.7,16.3,.469,1.7,4.8,.345,6.0,11.5,.522,.520,5.5,5.7,.971,0.7,4.7,5.3,9.7,1.3,0.5,2.8,2.3,22.5,0,153.031,131.195
56,Dillon Brooks\brookdi01,SF,24,MEM,5,5,26.4,4.4,10.6,.415,1.8,4.0,.450,2.6,6.6,.394,.500,1.0,1.0,1.000,0.6,2.4,3.0,1.8,1.2,0.4,1.2,4.8,11.6,0,70.916,61.557
57,Bruce Brown\brownbr01,SG,23,DET,7,4,24.4,2.6,6.4,.400,0.4,1.6,.273,2.1,4.9,.441,.433,1.3,2.0,.643,0.3,3.6,3.9,1.6,0.7,0.1,2.3,3.4,6.9,0,30.737,12.799
58,Jaylen Brown\brownja02,SG,23,BOS,3,3,28.7,6.7,13.3,.500,1.3,4.7,.286,5.3,8.7,.615,.550,2.7,4.0,.667,0.3,6.3,6.7,2.0,0.7,1.0,1.3,3.7,17.3,0,93.719,83.580
59,Sterling Brown\brownst02,SG,24,MIL,4,0,10.3,1.8,3.0,.583,1.0,1.8,.571,0.8,1.3,.600,.750,0.5,0.8,.667,0.8,3.3,4.0,0.5,0.0,0.0,0.8,1.0,5.0,0,33.519,27.280
60,Troy Brown\browntr01,SG,20,WAS,2,0,19.5,3.5,5.5,.636,1.0,2.5,.400,2.5,3.0,.833,.727,1.0,1.0,1.000,1.5,2.5,4.0,1.0,1.5,0.5,0.5,1.5,9.0,0,90.946,87.047
61,Jalen Brunson\brunsja01,PG,23,DAL,6,3,23.3,3.5,8.7,.404,1.0,3.3,.300,2.5,5.3,.469,.462,1.2,2.3,.500,1.2,2.3,3.5,3.8,0.3,0.0,1.0,1.5,9.2,0,31.704,23.905
62,Thomas Bryant\bryanth01,C,22,WAS,5,5,29.4,4.6,10.4,.442,0.8,3.2,.250,3.8,7.2,.528,.481,2.2,2.8,.786,2.0,8.2,10.2,2.6,1.0,2.0,1.8,1.4,12.2,0,118.919,104.881
63,Alec Burks\burksal01,SG,28,GSW,3,0,19.3,2.7,6.0,.444,1.0,1.7,.600,1.7,4.3,.385,.528,0.7,0.7,1.000,0.0,2.0,2.0,1.7,0.0,0.3,0.7,1.3,7.0,0,38.784,33.325
64,Deonte Burton\burtode02,SG,26,OKC,4,0,5.3,0.5,1.3,.400,0.5,1.0,.500,0.0,0.3,.000,.600,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.0,0.5,0.8,1.5,0,12.944,9.045
65,Jimmy Butler\butleji01,SF,30,MIA,3,3,31.0,4.7,12.0,.389,1.0,3.3,.300,3.7,8.7,.423,.431,4.3,6.7,.650,2.3,4.7,7.0,7.3,4.3,1.3,3.0,1.3,14.7,0,146.050,122.654
66,Bruno Caboclo\cabocbr01,SF,24,MEM,3,0,6.0,0.3,3.0,.111,0.0,1.0,.000,0.3,2.0,.167,.111,0.0,0.0,,0.7,1.0,1.7,0.0,0.3,0.7,0.3,0.7,0.7,0,7.903,5.563
67,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,6,0,24.0,2.7,7.0,.381,0.7,2.5,.267,2.0,4.5,.444,.429,0.7,0.8,.800,0.2,2.0,2.2,1.7,0.7,0.2,0.8,2.7,6.7,0,34.139,27.900
68,Vlatko Čančar\cancavl01,SF,22,DEN,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000,0.000
69,Clint Capela\capelca01,C,25,HOU,6,6,26.3,5.8,9.3,.625,0.0,0.0,,5.8,9.3,.625,.625,1.5,3.2,.474,1.5,6.5,8.0,1.0,1.2,1.7,1.5,3.2,13.2,0,106.859,95.161
70,DeMarre Carroll\carrode01,SF,33,SAS,2,0,11.0,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,1.0,1.0,1.000,0.5,1.0,1.5,1.5,0.0,0.5,0.5,2.0,3.0,0,30.673,26.774
71,Jevon Carter\carteje01,PG,24,PHO,6,1,20.5,2.2,5.5,.394,1.7,3.7,.455,0.5,1.8,.273,.545,0.7,0.7,1.000,0.2,2.0,2.2,2.8,1.0,0.2,2.2,2.7,6.7,0,60.660,43.503
72,Vince Carter\cartevi01,SF,43,ATL,5,0,13.6,1.4,4.6,.304,0.2,3.2,.063,1.2,1.4,.857,.326,0.0,0.0,,0.0,1.4,1.4,0.6,0.4,0.0,0.4,0.6,3.0,0,5.318,2.199
73,Wendell Carter\cartewe01,C,20,CHI,7,7,27.9,5.7,9.3,.615,0.1,0.9,.167,5.6,8.4,.661,.623,3.0,4.6,.656,3.1,6.3,9.4,0.9,0.4,1.0,1.3,4.0,14.6,0,89.152,79.013
74,Michael Carter-Williams\cartemi01,PG,28,ORL,4,0,13.0,1.0,3.3,.308,0.5,1.3,.400,0.5,2.0,.250,.385,0.0,0.0,,1.3,2.0,3.3,1.0,1.3,0.3,0.8,1.8,2.5,0,40.024,33.785
75,Alex Caruso\carusal01,SG,25,LAL,5,0,16.4,1.4,3.6,.389,0.4,1.4,.286,1.0,2.2,.455,.444,0.0,0.0,,0.0,1.4,1.4,1.6,1.4,0.6,1.8,1.2,3.2,0,50.212,36.174
76,Willie Cauley-Stein\caulewi01,C,26,GSW,3,2,17.0,4.0,6.3,.632,0.0,0.0,,4.0,6.3,.632,.632,0.7,0.7,1.000,0.7,5.3,6.0,1.0,0.7,0.7,0.0,2.7,8.7,0,77.775,77.775
77,Tyson Chandler\chandty01,C,37,HOU,6,0,6.8,1.2,1.3,.875,0.0,0.0,,1.2,1.3,.875,.875,0.0,0.2,.000,0.8,1.8,2.7,0.2,0.5,0.2,0.2,1.2,2.3,0,29.544,27.984
78,Chris Chiozza\chiozch01,PG,24,WAS,2,0,17.5,1.0,4.5,.222,1.0,2.0,.500,0.0,2.5,.000,.333,0.0,0.0,,0.0,2.0,2.0,3.5,1.0,1.0,1.5,3.0,3.0,0,55.671,43.973
79,Marquese Chriss\chrisma01,PF,22,GSW,5,1,14.6,1.6,3.6,.444,0.0,0.2,.000,1.6,3.4,.471,.444,2.0,2.4,.833,1.4,2.6,4.0,1.6,1.0,0.4,2.0,2.4,5.2,0,49.454,33.857
80,Brandon Clarke\clarkbr01,PF,23,MEM,5,0,23.0,5.2,9.0,.578,0.4,1.2,.333,4.8,7.8,.615,.600,0.8,1.0,.800,1.8,4.4,6.2,0.8,1.2,1.6,0.8,2.2,11.6,0,110.700,104.461
81,Jordan Clarkson\clarkjo01,SG,27,CLE,6,0,22.7,4.8,10.3,.468,1.8,5.2,.355,3.0,5.2,.581,.556,4.0,4.3,.923,0.2,1.0,1.2,2.5,1.0,0.3,1.2,1.0,15.5,0,84.524,75.166
82,Chris Clemons\clemoch01,PG,22,HOU,1,0,22.0,5.0,10.0,.500,4.0,9.0,.444,1.0,1.0,1.000,.700,2.0,2.0,1.000,2.0,1.0,3.0,1.0,0.0,1.0,2.0,3.0,16.0,0,109.688,94.090
83,John Collins\collijo01,PF,22,ATL,5,5,32.2,6.4,12.2,.525,1.8,3.8,.474,4.6,8.4,.548,.598,2.4,3.4,.706,2.0,6.8,8.8,1.6,1.0,2.0,1.4,3.4,17.0,0,138.635,127.716
84,Zach Collins\colliza01,PF,22,POR,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0,0,64.959,49.361
85,Mike Conley\conlemi01,PG,32,UTA,7,7,29.0,3.9,12.1,.318,1.6,5.6,.282,2.3,6.6,.348,.382,3.1,3.9,.815,0.3,1.9,2.1,3.9,1.0,0.1,3.1,2.9,12.4,0,43.739,19.563
86,Pat Connaughton\connapa01,SG,27,MIL,5,0,17.6,2.8,7.0,.400,1.6,4.6,.348,1.2,2.4,.500,.514,0.2,0.2,1.000,0.0,2.4,2.4,1.8,0.2,0.6,0.0,1.4,7.4,0,49.800,49.800
87,Quinn Cook\cookqu01,PG,26,LAL,6,0,15.7,2.0,5.7,.353,0.5,2.3,.214,1.5,3.3,.450,.397,0.0,0.0,,0.2,1.2,1.3,2.3,0.2,0.0,0.7,0.7,4.5,0,16.325,10.866
88,Tyler Cook\cookty01,PF,22,CLE,3,0,1.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.0,1.3,0,12.249,12.249
89,Robert Covington\covinro01,PF,29,MIN,5,5,24.8,4.4,9.6,.458,1.8,5.4,.333,2.6,4.2,.619,.552,1.6,1.8,.889,1.4,4.6,6.0,1.0,0.8,0.8,1.4,3.0,12.2,0,86.314,75.396
90,Torrey Craig\craigto01,SF,29,DEN,6,2,19.3,1.2,4.3,.269,0.3,2.2,.154,0.8,2.2,.385,.308,0.3,0.7,.500,1.0,3.3,4.3,0.8,0.5,1.3,0.5,2.3,3.0,0,41.647,37.748
91,Jae Crowder\crowdja01,SF,29,MEM,5,5,30.6,2.6,9.2,.283,1.6,7.0,.229,1.0,2.2,.455,.370,1.4,1.8,.778,1.2,4.8,6.0,3.0,0.4,0.4,1.2,2.0,8.2,0,42.308,32.949
92,Jarrett Culver\culveja01,SG,20,MIN,5,0,16.8,2.6,7.2,.361,1.0,3.6,.278,1.6,3.6,.444,.431,0.2,1.4,.143,0.6,1.2,1.8,0.8,0.8,0.0,2.0,1.6,6.4,0,10.310,-5.288
93,Seth Curry\curryse01,SG,29,DAL,6,3,22.0,3.2,6.8,.463,1.8,4.3,.423,1.3,2.5,.533,.598,1.2,1.2,1.000,0.5,1.2,1.7,1.8,0.8,0.2,0.8,1.5,9.3,0,63.774,57.535
94,Stephen Curry\curryst01,PG,31,GSW,4,4,28.0,6.8,16.5,.409,2.3,9.3,.243,4.5,7.3,.621,.477,4.5,4.5,1.000,1.0,4.0,5.0,6.5,1.3,0.5,3.8,2.5,20.3,0,122.880,93.245
95,Troy Daniels\danietr01,SG,28,LAL,6,0,15.5,1.8,5.7,.324,1.2,4.3,.269,0.7,1.3,.500,.426,0.5,0.5,1.000,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.3,5.3,0,19.488,15.589
96,Anthony Davis\davisan02,PF,26,LAL,6,6,35.2,9.5,20.3,.467,0.7,3.0,.222,8.8,17.3,.510,.484,8.8,10.0,.883,2.8,8.7,11.5,2.7,1.0,3.0,3.0,2.5,28.5,0,184.440,161.043
97,Ed Davis\davised01,C,30,UTA,6,0,12.2,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.3,0.7,.500,1.5,3.7,5.2,0.2,0.2,0.5,0.8,2.3,1.7,0,25.923,19.684
98,Terence Davis\daviste02,SG,22,TOR,6,0,7.7,0.7,2.2,.308,0.3,1.0,.333,0.3,1.2,.286,.385,0.7,0.7,1.000,0.5,1.5,2.0,0.7,0.5,0.2,0.2,1.2,2.3,0,23.465,21.905
99,Dewayne Dedmon\dedmode01,C,30,SAC,7,4,18.0,2.0,5.6,.359,0.4,2.6,.167,1.6,3.0,.524,.397,0.7,0.7,1.000,2.0,3.6,5.6,0.7,0.4,0.9,2.4,3.3,5.1,0,47.379,28.662
100,Matthew Dellavedova\dellama01,PG,29,CLE,4,0,18.0,1.0,4.0,.250,0.0,2.8,.000,1.0,1.3,.800,.250,0.5,0.8,.667,0.5,0.8,1.3,2.5,0.8,0.0,1.0,2.0,2.5,0,13.852,6.053
101,DeMar DeRozan\derozde01,SG,30,SAS,6,6,33.3,7.7,15.5,.495,0.0,0.2,.000,7.7,15.3,.500,.495,5.0,6.7,.750,0.5,4.5,5.0,4.2,0.8,0.5,3.8,2.2,20.3,0,82.701,53.066
102,Cheick Diallo\diallch01,C,23,PHO,3,0,2.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,0,11.238,5.779
103,Hamidou Diallo\diallha01,SG,21,OKC,6,0,20.2,4.2,9.0,.463,0.2,1.7,.100,4.0,7.3,.545,.472,1.5,2.7,.563,2.0,3.0,5.0,0.5,1.0,0.3,1.7,2.7,10.0,0,40.520,27.262
104,Gorgui Dieng\dienggo01,C,30,MIN,2,1,15.0,4.0,6.0,.667,1.0,2.0,.500,3.0,4.0,.750,.750,1.0,1.5,.667,0.5,4.5,5.0,0.5,1.0,1.5,1.5,1.0,10.0,0,105.595,93.897
105,Spencer Dinwiddie\dinwisp01,SG,26,BRK,6,0,24.5,4.7,12.0,.389,1.2,4.8,.241,3.5,7.2,.488,.438,4.7,6.0,.778,0.3,2.0,2.3,5.0,0.5,0.5,3.0,3.8,15.2,0,61.706,38.309
106,Donte DiVincenzo\divindo01,SG,23,MIL,3,0,13.7,2.7,6.3,.421,2.0,4.0,.500,0.7,2.3,.286,.579,0.0,0.0,,0.7,1.7,2.3,1.3,1.0,0.3,0.3,1.3,7.3,0,59.498,57.158
107,Luka Dončić\doncilu01,PG,20,DAL,6,6,35.5,8.7,18.7,.464,3.2,9.0,.352,5.5,9.7,.569,.549,6.2,7.7,.804,1.7,8.7,10.3,9.5,1.5,0.2,4.7,2.5,26.7,0,165.100,128.445
108,Damyean Dotson\dotsoda01,SG,25,NYK,3,0,7.0,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.7,1.0,.667,0.0,0.7,0.7,0.7,0.0,0.0,0.7,0.3,1.7,0,8.587,3.128
109,Goran Dragić\dragigo01,PG,33,MIA,6,0,27.3,4.8,10.3,.468,2.3,6.0,.389,2.5,4.3,.577,.581,4.2,5.8,.714,0.0,3.3,3.3,4.2,0.7,0.3,2.7,2.2,16.2,0,82.045,60.988
110,Andre Drummond\drumman01,C,26,DET,7,7,35.7,9.1,15.0,.610,0.0,0.7,.000,9.1,14.3,.640,.610,3.9,6.0,.643,4.6,14.1,18.7,2.4,1.7,2.6,4.0,4.1,22.1,0,194.338,163.143
111,Jared Dudley\dudleja01,SF,34,LAL,4,0,8.0,0.5,0.8,.667,0.5,0.5,1.000,0.0,0.3,.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.3,0.0,0.0,1.3,1.5,0,17.264,17.264
112,Kris Dunn\dunnkr01,PG,25,CHI,7,0,20.7,2.1,6.0,.357,0.0,1.6,.000,2.1,4.4,.484,.357,0.4,0.9,.500,0.4,2.0,2.4,3.0,1.7,0.3,0.6,2.9,4.7,0,43.482,38.803
113,Carsen Edwards\edwarca01,PG,21,BOS,4,0,13.0,1.3,5.5,.227,0.5,3.3,.154,0.8,2.3,.333,.273,1.0,1.5,.667,0.5,1.0,1.5,1.0,0.5,0.0,0.0,0.8,4.0,0,0.572,0.572
114,Wayne Ellington\ellinwa01,SG,32,NYK,6,1,19.0,2.0,6.3,.316,1.7,5.7,.294,0.3,0.7,.500,.447,0.0,0.2,.000,0.0,2.2,2.2,1.2,0.3,0.2,1.0,1.3,5.7,0,26.272,18.473
115,Joel Embiid\embiijo01,C,25,PHI,3,3,25.3,8.0,15.7,.511,1.3,3.7,.364,6.7,12.0,.556,.553,6.0,7.3,.818,2.7,7.7,10.3,3.3,1.3,1.7,2.7,4.0,23.3,0,158.385,137.328
116,James Ennis\ennisja01,SF,29,PHI,5,0,16.0,1.8,3.8,.474,0.4,1.4,.286,1.4,2.4,.583,.526,2.0,2.4,.833,2.0,4.0,6.0,0.8,0.6,0.2,1.0,2.0,6.0,0,47.124,39.325
117,Drew Eubanks\eubandr01,PF,22,SAS,1,0,2.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0,-8.156,-15.955
118,Jacob Evans\evansja02,SG,22,GSW,3,0,14.3,1.7,4.0,.417,1.3,2.7,.500,0.3,1.3,.250,.583,1.3,1.3,1.000,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.7,6.0,0,29.764,27.424
119,Tacko Fall\fallta01,C,24,BOS,1,0,4.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0,14.512,6.713
120,Derrick Favors\favorde01,C,28,NOP,3,3,20.3,4.3,7.0,.619,0.0,0.3,.000,4.3,6.7,.650,.619,0.0,0.0,,2.3,4.0,6.3,2.0,0.3,0.3,2.3,3.0,8.7,0,65.308,47.370
121,Terrance Ferguson\fergute01,SG,21,OKC,6,6,22.3,1.0,2.7,.375,0.5,1.7,.300,0.5,1.0,.500,.469,0.3,0.3,1.000,0.7,1.5,2.2,1.0,0.5,0.3,0.8,2.7,2.8,0,30.641,24.402
122,Bruno Fernando\fernabr01,C,21,ATL,5,0,11.0,2.2,3.6,.611,0.4,1.0,.400,1.8,2.6,.692,.667,0.4,1.2,.333,1.2,1.8,3.0,1.2,0.2,0.6,0.6,1.4,5.2,0,40.163,35.483
123,Yogi Ferrell\ferreyo01,PG,26,SAC,4,0,5.3,1.0,2.5,.400,0.3,1.0,.250,0.8,1.5,.500,.450,0.8,1.0,.750,0.0,0.5,0.5,0.8,0.3,0.0,0.3,0.0,3.0,0,12.848,10.508
124,Dorian Finney-Smith\finnedo01,PF,26,DAL,6,3,26.8,3.0,6.7,.450,1.0,3.3,.300,2.0,3.3,.600,.525,1.7,2.5,.667,2.7,3.8,6.5,0.7,0.8,0.2,1.2,2.2,8.7,0,51.073,41.715
125,Bryn Forbes\forbebr01,SG,26,SAS,6,6,28.7,4.8,11.8,.408,2.5,7.0,.357,2.3,4.8,.483,.514,2.0,2.0,1.000,0.5,3.0,3.5,1.3,0.7,0.0,0.7,1.7,14.2,0,64.369,58.909
126,Evan Fournier\fournev01,SG,27,ORL,6,6,27.2,6.5,13.7,.476,1.8,5.7,.324,4.7,8.0,.583,.543,2.0,2.5,.800,0.2,3.0,3.2,2.8,0.7,0.2,2.3,1.7,16.8,0,77.734,59.797
127,De'Aaron Fox\foxde01,PG,22,SAC,7,7,32.1,6.0,14.6,.412,1.3,3.9,.333,4.7,10.7,.440,.456,5.3,7.3,.725,0.4,3.1,3.6,6.3,0.7,0.4,3.6,3.0,18.6,0,72.272,44.196
128,Melvin Frazier\frazime01,SG,23,ORL,1,0,6.0,1.0,5.0,.200,0.0,1.0,.000,1.0,4.0,.250,.200,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,-18.173,-18.173
129,Tim Frazier\fraziti01,PG,29,DET,6,4,15.5,1.3,5.2,.258,0.5,1.7,.300,0.8,3.5,.238,.306,1.0,1.3,.750,0.3,0.8,1.2,3.3,0.8,0.0,1.0,2.3,4.2,0,21.645,13.846
130,Markelle Fultz\fultzma01,SG,21,ORL,6,1,23.2,4.2,8.8,.472,0.5,2.7,.188,3.7,6.2,.595,.500,0.8,1.2,.714,0.7,1.2,1.8,3.3,1.0,0.0,1.7,2.3,9.7,0,51.114,37.856
131,Wenyen Gabriel\gabriwe01,PF,22,SAC,5,0,6.8,0.6,2.4,.250,0.2,1.2,.167,0.4,1.2,.333,.292,0.8,1.4,.571,0.6,0.6,1.2,0.6,0.2,0.2,0.6,0.8,2.2,0,4.256,-0.424
132,Daniel Gafford\gaffoda01,PF,21,CHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.639,2.639
133,Danilo Gallinari\gallida01,PF,31,OKC,6,6,29.0,5.7,12.5,.453,2.8,6.5,.436,2.8,6.0,.472,.567,3.8,3.8,1.000,0.3,4.5,4.8,1.3,0.5,0.2,1.2,1.7,18.0,0,92.413,83.055
134,Langston Galloway\gallola01,SG,28,DET,7,0,23.6,2.7,7.1,.380,1.6,3.9,.407,1.1,3.3,.348,.490,2.7,3.0,.905,0.3,2.1,2.4,1.3,0.9,0.3,0.7,1.1,9.7,0,57.209,51.750
135,Darius Garland\garlada01,PG,20,CLE,6,6,26.8,3.2,10.2,.311,1.2,4.0,.292,2.0,6.2,.324,.369,0.7,1.0,.667,0.3,0.8,1.2,3.7,0.7,0.0,2.5,1.3,8.2,0,23.868,4.370
136,Marc Gasol\gasolma01,C,35,TOR,6,6,25.8,2.2,6.8,.317,1.2,3.2,.368,1.0,3.7,.273,.402,0.8,1.0,.833,1.0,6.5,7.5,2.2,0.0,0.3,1.3,3.5,6.3,0,40.088,29.950
137,Rudy Gay\gayru01,PF,33,SAS,6,0,23.0,4.3,9.0,.481,1.2,4.0,.292,3.2,5.0,.633,.546,1.8,2.5,.733,1.7,6.2,7.8,2.7,0.3,0.5,1.7,1.3,11.7,0,75.173,61.915
138,Taj Gibson\gibsota01,C,34,NYK,5,0,10.0,0.8,2.6,.308,0.0,0.6,.000,0.8,2.0,.400,.308,0.4,0.4,1.000,0.6,1.4,2.0,0.6,0.2,0.2,0.8,1.0,2.0,0,12.434,6.194
139,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,6,6,35.0,7.8,17.0,.461,1.8,4.8,.379,6.0,12.2,.493,.515,4.3,6.2,.703,1.2,6.0,7.2,3.3,0.7,1.0,1.8,1.5,21.8,0,101.533,87.495
140,Rudy Gobert\goberru01,C,27,UTA,7,7,33.7,3.7,6.0,.619,0.0,0.0,,3.7,6.0,.619,.619,3.4,5.3,.649,1.9,10.1,12.0,0.9,1.0,1.0,2.9,3.3,10.9,0,90.301,67.685
141,Aaron Gordon\gordoaa01,PF,24,ORL,6,6,29.7,4.2,10.3,.403,1.2,3.5,.333,3.0,6.8,.439,.460,1.8,3.0,.611,1.8,4.5,6.3,3.0,0.8,0.7,1.0,2.3,11.3,0,64.498,56.699
142,Eric Gordon\gordoer01,SG,31,HOU,6,1,30.3,3.3,12.2,.274,1.8,8.5,.216,1.5,3.7,.409,.349,0.8,1.2,.714,0.3,0.8,1.2,0.8,0.7,0.2,0.7,2.0,9.3,0,10.269,4.810
143,Devonte' Graham\grahade01,PG,24,CHO,6,0,29.3,4.3,10.5,.413,2.8,6.0,.472,1.5,4.5,.333,.548,2.8,3.2,.895,0.7,3.2,3.8,6.8,0.2,0.2,2.7,1.7,14.3,0,91.591,70.534
144,Treveon Graham\grahatr01,SG,26,MIN,5,5,22.6,2.2,7.4,.297,0.4,2.8,.143,1.8,4.6,.391,.324,1.4,1.4,1.000,0.8,2.6,3.4,1.4,1.0,0.0,0.4,2.0,6.2,0,25.985,22.865
145,Jerami Grant\grantje01,PF,25,DEN,6,0,23.3,3.0,7.2,.419,0.7,3.2,.211,2.3,4.0,.583,.465,1.3,2.2,.615,1.0,2.2,3.2,0.8,0.3,0.3,1.3,2.0,8.0,0,27.846,17.707
146,Danny Green\greenda02,SG,32,LAL,6,6,27.3,4.0,8.5,.471,2.7,5.5,.485,1.3,3.0,.444,.627,0.5,0.8,.600,0.5,2.3,2.8,0.8,1.3,0.3,0.8,3.2,11.2,0,78.136,71.897
147,Draymond Green\greendr01,PF,29,GSW,5,5,28.8,3.6,8.4,.429,0.8,2.6,.308,2.8,5.8,.483,.476,1.4,2.0,.700,0.8,7.0,7.8,5.2,1.4,0.0,1.4,2.2,9.4,0,77.332,66.413
148,JaMychal Green\greenja01,PF,29,LAC,7,0,20.9,3.3,6.1,.535,2.4,4.4,.548,0.9,1.7,.500,.733,1.3,1.4,.900,1.0,3.9,4.9,0.3,0.3,0.3,0.6,3.1,10.3,0,73.205,68.525
149,Javonte Green\greenja02,SG,26,BOS,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.7,.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,-7.279,-7.279
150,Jeff Green\greenje02,PF,33,UTA,7,1,19.0,2.0,5.4,.368,1.4,3.1,.455,0.6,2.3,.250,.500,1.0,1.7,.583,0.0,1.6,1.6,0.6,0.7,0.4,1.0,1.6,6.4,0,34.465,26.666
151,Marko Guduric\gudurma01,SG,24,MEM,5,0,16.4,1.6,5.0,.320,0.2,2.4,.083,1.4,2.6,.538,.340,0.6,0.6,1.000,0.8,2.4,3.2,1.6,0.0,0.2,1.4,0.8,4.0,0,16.595,5.677
152,Rui Hachimura\hachiru01,SF,21,WAS,5,5,31.0,6.8,15.0,.453,0.6,2.6,.231,6.2,12.4,.500,.473,1.0,1.0,1.000,2.2,3.8,6.0,1.0,0.4,0.2,1.0,1.4,15.2,0,54.549,46.750
153,Tim Hardaway\hardati02,SG,27,DAL,6,0,22.8,3.3,9.0,.370,1.7,5.5,.303,1.7,3.5,.476,.463,1.7,2.0,.833,0.3,2.0,2.3,1.5,0.2,0.0,0.5,2.2,10.0,0,32.171,28.272
154,James Harden\hardeja01,SG,30,HOU,6,6,35.0,8.7,23.3,.371,2.8,13.2,.215,5.8,10.2,.574,.432,15.2,15.8,.958,1.0,3.3,4.3,7.7,0.8,0.3,5.7,3.8,35.3,0,144.851,100.398
155,Maurice Harkless\harklma01,PF,26,LAC,7,0,20.7,2.4,4.4,.548,0.4,1.3,.333,2.0,3.1,.636,.597,0.3,0.6,.500,0.6,2.4,3.0,0.9,1.6,0.4,0.9,3.9,5.6,0,60.360,53.341
